Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.078119,0.12635,0.43734,0,0,0,308.53,153.43,-34.366,-3.9686,190.69,-15.336,144.6,0,0,0,0,0,0,package://kitchen/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://kitchen/meshes/base_link.STL,,base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
hot_plate,0.25,0.0087343,0.25,0,0,0,5.6431,0.086722,2.83E-17,1.02E-17,0.17241,-2.15E-17,0.086722,0,0,0,0,0,0,package://kitchen/meshes/hot_plate.STL,0.50196,0.50196,0.50196,1,0,0,0,0,0,0,package://kitchen/meshes/hot_plate.STL,,Kitchen_Cooktop_Simple-1,Origin_hot_plate_fixed,,hot_plate_fixed,fixed,0.096699,0.48639,0.68,-1.5708,0,-1.5708,base_link,0,0,0,,,,,,,,,,,,
sink,-0.11955,0.44222,0.053,0,0,0,7.7349,0.13549,-0.0016799,0.00016371,0.23449,0.0015904,0.13577,0,0,0,0,0,0,package://kitchen/meshes/sink.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://kitchen/meshes/sink.STL,,мойка 490 в сборе-1,Origin_sink_fixed,,sink_fixed,fixed,0.97831,0.37821,0.18277,1.5708,0,0.4277,base_link,0,0,0,,,,,,,,,,,,
shelves,0.15,-2.22E-16,1.11E-16,0,0,0,33.12,5.2606,-1.25E-18,7.98E-17,5.5045,1.85E-32,0.25282,0,0,0,0,0,0,package://kitchen/meshes/shelves.STL,0.98824,0.73725,0.46667,1,0,0,0,0,0,0,package://kitchen/meshes/shelves.STL,,shelves-1,Origin_shelves_fixed,,shelves_fixed,fixed,-0.54,-0.15,1.245,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
counter_top,0.0043832,0.015,-0.039975,0,0,0,39.344,5.8999,-5.69E-18,2.8484,13.492,-8.13E-18,7.5977,0,0,0,0,0,0,package://kitchen/meshes/counter_top.STL,0.90196,0.68627,0.48627,1,0,0,0,0,0,0,package://kitchen/meshes/counter_top.STL,,counter-1,Origin_counter_top_fixed,,counter_top_fixed,fixed,0.04,-0.04,0.65,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
bottom_doors_right,0.58632,0.30937,0.01,0,0,0,13.974,0.26407,-3.60E-18,-1.80E-18,0.35092,-7.66E-19,0.61405,0,0,0,0,0,0,package://kitchen/meshes/bottom_doors_right.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://kitchen/meshes/bottom_doors_right.STL,,bottom_doors_2-1/Copy of Part3^bottom_doors_2-1,Origin_bottom_fixed_right,,bottom_fixed_right,fixed,0,0,0,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
bottom_handles_right,0.12348,-0.12424,0.022433,0,0,0,0.374,2.91E-05,5.05E-19,-9.52E-20,0.0052838,-4.78E-21,0.0052796,0,0,0,0,0,0,package://kitchen/meshes/bottom_handles_right.STL,0.66667,0.69804,0.76863,1,0,0,0,0,0,0,package://kitchen/meshes/bottom_handles_right.STL,,bottom_doors_2-1/handles_2-1;bottom_doors_2-1/handle_3-1,Origin_bottom_handles_right_fixed,,bottom_handles_right_fixed,fixed,0.35452,0.6,0.02,0,0,0,bottom_doors_right,0,0,0,,,,,,,,,,,,
bottom_door_left,0.01,5.55E-17,2.78E-17,0,0,0,5.1072,0.25097,2.84E-19,0,0.062928,3.83E-19,0.18838,0,0,0,0,0,0,package://kitchen/meshes/bottom_door_left.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://kitchen/meshes/bottom_door_left.STL,,door_1_assm-2/bottom_door_1-1,Origin_bottom_left_fixed,,bottom_left_fixed,fixed,0,-0.242,0.3125,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
bottom_handle_left,0.021757,0,2.78E-17,0,0,0,0.074,0.00058588,8.94E-23,1.10E-20,0.00058725,-3.79E-38,6.31E-06,0,0,0,0,0,0,package://kitchen/meshes/bottom_handle_left.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://kitchen/meshes/bottom_handle_left.STL,,door_1_assm-2/handle_1-1,Origin_bottom_handle_left_fixed,,bottom_handle_left_fixed,fixed,0.02,0.2825,0,0,0,0,bottom_door_left,0,0,0,,,,,,,,,,,,
bottom_door,0.01,-0.3325,0.192,0,0,0,5.1072,0.25097,-2.84E-19,-1.50E-19,0.062928,1.13E-18,0.18838,0,0,0,0,0,0,package://kitchen/meshes/bottom_door.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://kitchen/meshes/bottom_door.STL,,door_1_assm-1/bottom_door_1-1,Origin_bottom_left_hinge,bottom_hinge,bottom_hinge,revolute,0,-0.82,-0.02,-1.5708,0,0,base_link,0,-1,0,0,0,-1.5708,0,,,,,,,,
